Title,Score,Num_reviews,Age,Pages,Language,Price_tapa_dura,Price_tapa_blanda,Price_Kindle
Mis bendiciones (Cajitas religiosas),4.7,233.0, 3 - 9 anos,40.0,Español,0.0,3.81,0.0
Mi primer libro para colorear: 100 imágenes fáciles y divertidas de objetos cotidianos y animales para colorear para niños a partir de 1 año.,4.6,184.0, 1 - 3 anos,102.0,Español,,,
Policán 3: Historia de dos mininos,4.8,322.0, 6 - 9 anos,256.0,,,,
Deberes de vida: La lista de tareas para aprender a disfrutar de la vida (No ficción ilustrados),4.6,55.0,7 anos ou mais,128.0,Español,0.0,13.95,0.0
Leotube 5. La maldición de Tutanpedón (Jóvenes influencers),5.0,1.0,6 anos ou mais,80.0,,13.25,0.0,6.64
Un besito y ¡a dormir!: 1 (Los Dudús),4.7,1250.0, 2 - 3 anos,14.0,Español,,,
Anna Kadabra 3. Un monstruo en la bañera,4.8,709.0, 7 - 9 anos,128.0,,,,
"La Leyenda de los Xilem. El Renacer: un libro de magia y música, lleno de criaturas fantásticas y misterios. (ILUSTRACIONES EN BLANCO Y NEGRO)",4.6,76.0, 9 - 12 anos,170.0,Español,0.0,0.0,0.0
La joya interior (Colección Anna Llenas) (Lumen Ilustrados),4.8,151.0,7 - 8 anos,60.0,Español,24.16,0.0,6.64
Mis primeras canciones en inglés (Libros con sonido) (Edición en Español),4.5,698.0, 1 - 2 anos,12.0,Español,,,
200 Actividades para Educación Infantil - Libro de Actividades para Niños: Más de 200 Páginas de Juegos y Ejercicios Educativos para Aprender Divirtiéndose | Edad Preescolar 3-6 Años,4.5,188.0, 3 - 5 anos,203.0,Español,,,
200 Actividades para Educación Infantil - Libro de Actividades para Niños: Más de 200 Páginas de Juegos y Ejercicios Educativos para Aprender Divirtiéndose | Edad Preescolar 3-6 Años,4.5,188.0, 3 - 5 anos,203.0,Español,,,
Mi gran libro de experimentos (El Gran Libro De...),4.6,1114.0, 6 - 8 anos,120.0,Español,,,
Harry Potter y la Orden del Fénix,4.8,2858.0,8 - 12 anos,1025.0,,,,
"El Misterio de la Tundra: (El Sendero del Guardabosques, Libro 3)",4.6,1096.0,11 - 18 anos,501.0,,0.0,0.0,0.0
