,Palavra,frequência
1146,boas,443
1231,acha,443
3821,chama,442
1423,presença,441
1908,passos,441
3802,doce,440
892,principalmente,439
1757,cabo,438
66642,inflação,438
4540,café,438
1846,cedo,437
3075,favor,437
4629,achei,437
3151,melhores,437
3264,ou,437
1565,nessa,436
4979,anterior,436
1847,pudesse,436
6862,daniel,435
2716,ciência,435
4234,acaso,435
1189,dando,435
220,páginas,434
24534,henrique,434
1446,bons,434
6686,morto,433
667,interior,433
4403,político,432
15634,região,432
3776,braço,431
915,frase,431
1670,fiz,431
10651,março,430
1005,letras,429
10691,maio,429
5414,festa,429
12007,3,428
852,prazer,427
53,romance,427
1045,sonho,425
2568,acabar,425
442,trinta,425
1798,mostrar,424
3096,chega,424
9773,imprensa,423
2583,instante,423
2974,receber,422
5140,economia,422
4538,dados,421
1299,filosofia,421
11633,comissão,421
1220,acaba,421
2041,visita,420
2372,condições,419
1612,destino,419
3384,jovem,419
3869,ambas,419
1552,entrada,418
12988,12,418
3281,perdeu,418
133,semelhante,418
4049,pedido,417
5,fonte,417
1020,entra,416
21015,magalhães,416
4549,começa,416
1056,tia,416
12299,problema,415
3078,prazo,415
1609,esperanças,413
255,tipo,412
1869,doente,411
2389,particular,410
1661,fogo,410
16207,sofia,410
3766,artista,410
3148,imaginação,409
3511,pais,408
1452,vários,408
2067,ama,408
407,ficava,408
535,jornais,408
3676,sobretudo,408
28781,produtos,407
3554,serviço,406
4879,fizeram,405
756,tom,405
1777,estava,404
1594,caiu,403
7,completa,403
1958,sombra,402
4806,feira,401
2588,precisa,401
882,forças,399
4076,oliveira,399
1893,parecer,399
7293,etc,399
310,linhas,398
8690,abril,398
4311,artigo,398
66397,mundial,397
1747,escreveu,397
1782,gabinete,396
5811,necessário,396
1718,quadro,395
1755,junto,395
2316,esperava,395
4510,queda,394
3797,nele,393
5843,notícias,393
1383,lembrou,393
1505,amores,392
233,verdadeiro,392
6720,mestre,392
5221,junho,392
272,excelente,390
4916,faria,390
2408,importante,389
17,publicado,389
22812,vicente,388
288,qualidade,388
1815,anda,388
2425,exclamou,387
397,bonita,387
627,graças,387
193,pôr,386
4032,aconteceu,386
16425,revista,386
1436,casas,385
3086,luísa,385
21907,técnico,384
2092,certeza,384
2111,véspera,383
984,tomou,383
2851,chamar,383
377,mendonça,383
1665,explicação,383
2580,vieram,382
3081,viva,382
16373,programas,382
4372,sai,382
5083,pesquisa,382
7424,crítica,381
2465,terceiro,381
1265,sorriu,380
1932,dever,380
3129,nota,379
1051,pensou,379
12722,cecília,378
2446,tens,378
6586,tirar,378
34368,estela,377
4178,humana,377
558,instantes,377
2378,sono,375
1303,primeiras,375
69126,lula,375
1010,mesmos,374
3080,época,373
10478,5,372
1731,concluiu,372
11,ii,372
69066,fhc,372
3319,pensar,371
3331,importa,370
2035,honra,370
1588,mandou,369
28996,aumento,369
2725,antigo,369
878,sorriso,369
3367,meneses,368
6313,abaixo,368
3852,dali,368
6974,fé,367
4826,negócios,367
3005,dezembro,367
4052,podiam,367
738,cabelos,367
13142,setembro,366
1163,relações,366
284,leitores,366
553,bastante,366
781,propósito,365
2427,vejo,365
2130,estou,365
3459,tenho,365
1532,esquerda,365
6238,branco,364
1830,várias,364
12346,agosto,364
583,direção,364
3961,poucas,364
7971,superior,364
1256,debaixo,364
4807,buscar,364
9232,outubro,363
10458,iaiá,362
21803,área,362
4984,recursos,362
732,belo,361
3236,sorte,361
4390,campos,360
5298,moças,360
2285,peito,360
1480,matéria,360
2470,passada,359
1537,maiores,359
508,finalmente,358
1178,trouxe,358
1700,tu,358
10711,república,357
6386,maioria,357
708,dessas,357
2506,contudo,356
2074,contou,356
4971,advogado,356
1901,partida,355
10830,proposta,355
1205,confiança,355
32,augusta,354
303,comércio,354
8262,ofício,354
1404,resolução,354
5174,cavalo,354
460,doença,354
1011,abrir,353
24600,valentim,353
4018,tanta,353
15938,início,353
3871,encontro,353
1196,pensava,352
2632,almoço,352
3103,lábios,352
2398,ficaram,352
7294,ex,352
277,menina,352
1120,curiosidade,352
504,leu,351
2450,custa,350
40409,50,350
470,animais,350
31,segredo,350
13341,professor,350
3579,baile,350
5063,"),",350
13442,problemas,349
367,sujeito,349
2925,educação,349
8671,atual,349
2704,remédio,349
12078,4,349
1666,provavelmente,348
1228,amava,348
870,peço,348
6036,existe,348
1037,espetáculo,347
2787,frio,347
3447,entender,347
1182,rapazes,346
7717,eleição,346
5222,largo,346
2917,linguagem,346
2391,canto,345
374,razões,345
1585,volume,344
7458,frança,344
477,encontrar,344
8,machado,344
6592,poderá,344
5523,face,344
47563,federal,343
7332,conselheiro,343
3284,declarou,343
8656,próxima,343
2066,qual,342
585,barão,342
60492,capitu,341
3400,chuva,341
1904,dormir,340
6568,pessoal,340
3047,circunstâncias,340
4708,anjo,340
2202,internacional,339
8689,25,339
348,ruas,339
33848,seleção,339
2494,guarda,339
4791,deram,338
632,correu,338
4433,defesa,337
4670,rede,337
3972,objeto,337
1845,iria,337
1380,ouvia,337
1740,tirou,337
4098,folhas,336
1014,nela,336
5424,azul,336
1157,contava,336
2622,existência,336
6214,aspecto,335
5662,eles,335
541,medida,335
1858,trabalhos,335
14371,congresso,334
51578,reportagem,334
15991,copa,334
483,dono,334
11200,moeda,333
4819,pagar,333
1865,tristeza,332
1176,oficial,332
3133,dessa,332
5923,próprios,332
268,simplesmente,332
10412,porto,331
25714,aires,331
14436,central,331
0,conto,331
4584,ernesto,331
684,ausência,331
1668,rir,330
4104,direita,330
2283,minha,330
103,criação,330
4804,anteontem,329
1667,escrito,329
3777,sinal,329
770,disseram,329
3918,amar,329
1026,qualidades,327
3874,pede,326
13820,inglês,326
1128,comprar,326
3781,tantas,326
2479,escolha,326
2371,possa,325
1883,mudança,325
7486,francês,325
706,desenvolvimento,325
2536,noites,325
3479,principais,324
3728,exposição,324
3164,som,324
3715,lua,324
6729,riso,324
3373,serviços,323
4318,antônio,323
6402,itália,323
2680,explicar,322
12998,16,322
3054,devo,322
4370,data,322
3612,sua,322
1622,tantos,322
119,original,322
10048,políticos,322
3996,namorado,321
27392,luiz,321
1170,sorrindo,321
3446,esposa,321
3762,chamou,320
9589,segurança,320
388,cheio,320
2395,condição,319
69959,futebol,319
2327,amo,319
292,erro,319
10401,decisão,318
2682,passava,318
1659,reflexão,318
3740,velhos,318
7434,saudades,318
72020,filme,317
1507,esforço,317
4662,deveras,317
4250,juiz,317
38771,93,317
9079,leva,317
1592,pegou,316
4274,todavia,316
45,iii,316
846,dedos,316
4948,modelo,316
4911,total,316
2072,repetiu,316
6784,santo,316
4351,escritor,316
713,vestido,316
1345,olhava,316
598,portanto,315
973,,315
1503,bonito,315
2105,veja,315
9386,costa,315
15865,venda,315
2308,antiga,314
8138,população,314
3237,terceira,314
624,literatura,314
2829,conhecia,314
1848,quinze,313
1052,nisto,313
5028,culpa,313
2994,vivo,313
17643,brasileiros,313
66508,urv,313
7952,ministério,313
818,margarida,313
1772,ouvido,312
1277,mostrou,312
10751,universidade,312
4546,série,312
1681,desses,312
2886,asas,311
3955,eram,311
2228,ações,311
4752,praia,311
3112,reunião,311
71617,cinema,311
1877,lembrança,310
1895,bilhete,310
4610,jogador,310
819,dou,310
3553,faça,310
3130,dei,309
2064,rindo,309
3636,estudos,309
1102,conhecer,309
123,leitura,308
